file_name,is_negative,category_id
201810280300_1826_ec69b3ac.jpg,False,4
201810280600_1826_a0ecedef.jpg,False,4
201810280900_1826_e1d45e97.jpg,False,4
201810281200_1826_8324ce9e.jpg,False,4
201810281500_1826_f48a0d0f.jpg,False,4
201810281800_1826_3836b841.jpg,False,4
201810282100_1826_19c084c5.jpg,False,4
201810290000_1826_e58d061d.jpg,False,4
201810290300_1826_caf9c524.jpg,False,4
201810290600_1826_4647d553.jpg,False,2
201810290900_1826_c2841a82.jpg,False,4
201810291200_1826_5c1a161c.jpg,False,4
201810291500_1826_3d6b3279.jpg,False,4
201810291800_1826_99679748.jpg,False,4
201810292100_1826_4770ce9e.jpg,False,4
201810300000_1826_cf571611.jpg,False,4
201810300300_1826_b8d591ba.jpg,False,4
201811221200_1828_6838aa75.jpg,False,2
201811221500_1828_05525ca7.jpg,False,2
201811221800_1828_85508d93.jpg,False,2
201811222100_1828_49546616.jpg,False,2
201811230000_1828_a69f7590.jpg,False,2
201811230300_1828_29f49392.jpg,False,2
201811230600_1828_5f502928.jpg,False,4
201811230900_1828_329ba523.jpg,False,2
201811231200_1828_7efa0c8b.jpg,False,4
201811231500_1828_57cc822e.jpg,False,4
201811231800_1828_bd7ea324.jpg,False,4
201811232100_1828_5028883a.jpg,False,4
201811240000_1828_1458c6b6.jpg,False,4
201811240300_1828_58712641.jpg,False,4
201811240600_1828_1f591ee0.jpg,False,4
201811240900_1828_5f7c9dfe.jpg,False,4
201811241200_1828_a1dafb24.jpg,False,4
201811241500_1828_42d96268.jpg,False,4
201811241800_1828_50161016.jpg,False,4
201811242100_1828_5de9b1f3.jpg,False,4
201811250000_1828_02f311a8.jpg,False,1
201811250300_1828_a9e6aa2d.jpg,False,1
201811250600_1828_e6561c1e.jpg,False,1
201811250900_1828_a15032bb.jpg,False,1
201811251200_1828_a4399c05.jpg,False,1
201811251500_1828_3929f3f7.jpg,False,2
201902201800_1902_0ae68a13.jpg,False,2
201902202100_1902_2daefc3a.jpg,False,2
201902210000_1902_bc397a20.jpg,False,3
201902210300_1902_f6f2235c.jpg,False,3
201902210600_1902_9da201be.jpg,False,2
201902210900_1902_47d09de9.jpg,False,2
201902211200_1902_c21cac16.jpg,False,3
201902211500_1902_c12fb0aa.jpg,False,4
201902211800_1902_372b7539.jpg,False,4
201902212100_1902_6367d3f9.jpg,False,4
201902220000_1902_3570102b.jpg,False,4
201902220300_1902_6750efc4.jpg,False,4
201902220600_1902_de960ba0.jpg,False,4
201902220900_1902_3fee200e.jpg,False,4
201902221200_1902_077fca33.jpg,False,4
201902221500_1902_517aaabf.jpg,False,4
201902221800_1902_8cd0399e.jpg,False,3
201902222100_1902_e60e100d.jpg,False,4
201902230000_1902_7092967c.jpg,False,4
201902230300_1902_ff26b77c.jpg,False,4
201902230600_1902_c174b691.jpg,False,4
201902230900_1902_66336cfd.jpg,False,4
201902231200_1902_546a9267.jpg,False,4
201902231500_1902_32c803fb.jpg,False,4
201902231800_1902_3ddfd76c.jpg,False,4
201902232100_1902_5c91b0ea.jpg,False,4
201902240000_1902_51488e49.jpg,False,4
201902240300_1902_34610861.jpg,False,4
